Date,CondoPrice
1/1/2005,200900
2/1/2005,200600
3/1/2005,201100
4/1/2005,201500
5/1/2005,203000
6/1/2005,203700
7/1/2005,204300
8/1/2005,205000
9/1/2005,206100
10/1/2005,206900
11/1/2005,207300
12/1/2005,210700
1/1/2006,210900
2/1/2006,212200
3/1/2006,212000
4/1/2006,213300
5/1/2006,213100
6/1/2006,213700
7/1/2006,213900
8/1/2006,213600
9/1/2006,215400
10/1/2006,216000
11/1/2006,217900
12/1/2006,215700
1/1/2007,217700
2/1/2007,219000
3/1/2007,221300
4/1/2007,222900
5/1/2007,225100
6/1/2007,226500
7/1/2007,228100
8/1/2007,229900
9/1/2007,230900
10/1/2007,232300
11/1/2007,233900
12/1/2007,234900
1/1/2008,237100
2/1/2008,239200
3/1/2008,240500
4/1/2008,241600
5/1/2008,242500
6/1/2008,242600
7/1/2008,243900
8/1/2008,244800
9/1/2008,244000
10/1/2008,242700
11/1/2008,240700
12/1/2008,239900
1/1/2009,234800
2/1/2009,232000
3/1/2009,233300
4/1/2009,234800
5/1/2009,236800
6/1/2009,240500
7/1/2009,245300
8/1/2009,249000
9/1/2009,253600
10/1/2009,257400
11/1/2009,262900
12/1/2009,266800
1/1/2010,269800
2/1/2010,272200
3/1/2010,272800
4/1/2010,273600
5/1/2010,272800
6/1/2010,271400
7/1/2010,268300
8/1/2010,266700
9/1/2010,268600
10/1/2010,269700
11/1/2010,270700
12/1/2010,273700
1/1/2011,276400
2/1/2011,280200
3/1/2011,279800
4/1/2011,280900
5/1/2011,282400
6/1/2011,284800
7/1/2011,286900
8/1/2011,288200
9/1/2011,289400
10/1/2011,291700
11/1/2011,292000
12/1/2011,291800
1/1/2012,291500
2/1/2012,292500
3/1/2012,293600
4/1/2012,293600
5/1/2012,295200
6/1/2012,295500
7/1/2012,294700
8/1/2012,295000
9/1/2012,295300
10/1/2012,295200
11/1/2012,294400
12/1/2012,294300
1/1/2013,294200
2/1/2013,295200
3/1/2013,296600
4/1/2013,297600
5/1/2013,298400
6/1/2013,297900
7/1/2013,300000
8/1/2013,301400
9/1/2013,301200
10/1/2013,302600
11/1/2013,304700
12/1/2013,305600
1/1/2014,308100
2/1/2014,307600
3/1/2014,308300
4/1/2014,309000
5/1/2014,308900
6/1/2014,312600
7/1/2014,313300
8/1/2014,314100
9/1/2014,314900
10/1/2014,316700
11/1/2014,318700
12/1/2014,320600
1/1/2015,321600
2/1/2015,321300
3/1/2015,321100
4/1/2015,323100
5/1/2015,324200
6/1/2015,325900
7/1/2015,328600
8/1/2015,331500
9/1/2015,334600
10/1/2015,334400
11/1/2015,336300
12/1/2015,337200
1/1/2016,336800
2/1/2016,341100
3/1/2016,344100
4/1/2016,346500
5/1/2016,349200
6/1/2016,353200
7/1/2016,359100
8/1/2016,363700
9/1/2016,370300
10/1/2016,377500
11/1/2016,384200
12/1/2016,387900
1/1/2017,397600
2/1/2017,406200
3/1/2017,427100
4/1/2017,445600
5/1/2017,455100
6/1/2017,461100
7/1/2017,459300
8/1/2017,458600
9/1/2017,460400
10/1/2017,464800
11/1/2017,467600
12/1/2017,472800
1/1/2018,477500
2/1/2018,482100
3/1/2018,486800
4/1/2018,490400
5/1/2018,492200
6/1/2018,495500
7/1/2018,497600
8/1/2018,504300
9/1/2018,507200
10/1/2018,509400
11/1/2018,511800
12/1/2018,515400
1/1/2019,516200
2/1/2019,520100
3/1/2019,521300
4/1/2019,523400
5/1/2019,526400
6/1/2019,532700
7/1/2019,539300
8/1/2019,544000
9/1/2019,547900
